Image_link,Name,Rating,Price,Discount
,HP Flash Drive 128 GB OTG Drive,3.8,₹449,70% off
,SanDisk iXpand Flash Drive Flip 64 GB OTG Drive,4.2,"₹2,219",38% off
,SanDisk Cruzer Blade USB Flash Drive (BLACK & RED) - 3P...,4.2,"₹1,199",11% off
,SanDisk Cruzer Blade 128 GB Pen Drive,3.8,"₹1,099",50% off
,SanDisk SDSDQM-008G-B35 Cruzer Blade 2Pcs Combo 8 GB Pe...,4.1,₹779,36% off
,HP v220w 128 GB Pen Drive,4.1,₹419,72% off
,SanDisk SDDDC3-064G-I35PC 64 GB OTG Drive,4.2,₹809,37% off
,"SanDisk Ultra Shift USB Flash Drive USB 3.0, 100MB/s 64...",4.2,₹649,35% off
,HP V222W 32 GB Pen Drive,4.2,₹519,25% off
,HP V222W 32 GB Pen Drive,4.2,₹519,25% off
,HP v215b 32 GB Pen Drive,4,₹425,34% off
,SYSTICK USB FLASHDRIVE 2.0 / Model S-101 Portable High ...,3.9,₹330,66% off
,HP mm-usb32gb-02p 32 GB Pen Drive,3.9,₹344,50% off
,SanDisk Dual Drive Go 512 GB OTG Drive,4.1,"₹3,699",39% off
,HP 128GB 2IN 1 OTG CONNECTOR 128 GB Pen Drive,3.9,₹400,59% off
,SanDisk SDDDC2-032G-I35 32 GB OTG Drive,4.3,₹709,35% off
,SanDisk Cruzer Blade USB Flash Drive 2.0 Pen Drive 32 G...,3.8,₹470,27% off
,HP v220w 128 GB Pen Drive,3.6,₹431,66% off
,SYSTICK USB FLASHDRIVE 2.0 / Model S-101 Portable High ...,4,₹254,63% off
,"EVM EnStick USB 3.2, High Speed 200 Mb/s, Indias Fastes...",4.3,₹429,73% off
,Acer UP300 128 GB Pen Drive,4.2,₹799,61% off
,HP x796w 128 GB Pen Drive,4.2,"₹1,224",79% off
,HP 220VW 2.0/3.0 128 GB Pen Drive,3.8,₹416,66% off
,SanDisk Ultra Shift™ USB 3.0 128 GB Pen Drive,4.1,₹799,42% off
,HP v220b 128 GB OTG Drive,4.1,₹399,50% off
,SanDisk DDDC3-064G-I35 64 OTG Drive,4.2,₹883,44% off
,HP FD236W 32GB USB 2.0 32 GB Pen Drive,4.1,₹589,34% off
,HP V220w 2IN OTG 128 GB Pen Drive,3.6,₹438,72% off
,DM PD168 256GB USB 3.1 Type C High-Speed Metal Pendrive...,4,"₹2,149",46% off
,HP V222W 16 GB Pen Drive,4.3,₹488,11% off
,HP V222W 64 GB Pen Drive,4,₹625,51% off
,HP 712W 64GB USB3.2 64 GB Pen Drive,4.2,₹596,48% off
,"EVM EnStick USB 3.2, High Speed 200 Mb/s, Indias Fastes...",4.1,₹499,75% off
,HP V220w Metal high speed 128 GB OTG Drive,3.8,₹444,75% off
,HP V220w C-TYPE OTG FREE 128 GB Pen Drive,3.8,₹422,73% off
,SanDisk Cruzer Blade USB Flash Drive (BLACK & RED) - 3p...,4.2,"₹1,199",11% off
,SYSTICK USB FLASHDRIVE 2.0 / Model S-101 Portable High ...,3.7,₹381,80% off
,HP v215w 32 GB Pen Drive,4,₹396,47% off
,SanDisk SDDDC3-512G-I35PC 512 GB OTG Drive,4.1,"₹3,699",39% off
,SanDisk Curzer Blade USb Flash Drive 64 GB Pen Drive,3.3,₹522,52% off
,HP X796W 128GB USB 3.1 128 GB Pen Drive,4,"₹1,299",51% off
,HP V220w srp 128 GB Pen Drive,4.3,₹421,57% off
,SanDisk SDDDC4-1T00-I35 1 TB OTG Drive,4,"₹8,399",39% off
,SanDisk SDDDC3-032G-I35 32 GB OTG Drive,4.3,₹800,23% off
,HP MT v220w 128 GB Pen Drive,3.6,₹426,56% off
,SanDisk SDDDC3-064G-I35AG / Mobile Dual Drive / 150 Mbs...,4.3,₹749,37% off
,HP HPRM V220W 128GB PENDRIVE 2.0 128 GB Pen Drive,3.6,₹395,60% off
,HP GNS v220w 128 GB Pen Drive,3.5,₹408,59% off
,SanDisk Dual Drive Go 128 GB OTG Drive,4.2,"₹1,418",35% off
,SanDisk Cruzer Blade USB Flash Drive 2.0 32 GB Pen Driv...,3.9,₹427,39% off
